RSRP_S,RSRP_t,Tr,S,T
-79.915,-83.423,155,2,42
-74.3,-74.245,94,42,7
-65.674,-75.425,198,7,43
-75.516,-84.658,122,43,18
-82.058,-84.006,158,18,17
-81.884,-82.186,26,17,43
-76.155,-77.824,39,43,7
-74.711,-73.751,40,7,31
-68.411,-83.932,56,31,1
-71.562,-82.896,150,1,4
-74.295,-84.998,147,4,12
-80.298,-83.882,327,12,11
-77.27,-76.709,368,11,41
-71.512,-79.741,229,41,32
-77.698,-80.356,146,32,3
-68.868,-84.947,781,3,2
-78.082,-78.281,442,2,44
-69.201,-70.596,134,44,2
-67.992,-80.614,45,2,1
-68.46,-77.389,46,1,20
-66.995,-64.07,15,20,5
-68.709,-84.605,95,5,4
-81.265,-82.58,70,4,23
-67.314,-69.043,39,23,12
-72.939,-84.338,108,12,4
-78.486,-84.808,135,4,3
-82.863,-83.643,47,3,1
-80.748,-80.744,30,1,27
-78.486,-81.391,37,27,2
-79.762,-85.071,113,2,19
-80.013,-81.548,43,19,8
-64.541,-75.21,56,8,44
-64.353,-70.698,24,44,2
-70.694,-74.874,47,2,27
-67.286,-77.014,28,27,1
-78.41,-84.025,63,1,4
-82.904,-83.268,23,4,5
-80.553,-80.588,23,5,33
-76.246,-77.815,22,33,13
-78.168,-78.009,22,13,30
-75.083,-78.692,859,30,13
-77.58,-78.904,72,13,33
-74.628,-83.569,92,33,5
-82.728,-83.801,65,5,4
-81.279,-83.717,124,4,1
-80.466,-83.448,146,1,27
-76.191,-81.181,90,27,2
-76.829,-75.748,175,2,1
-83.737,-83.737,11,1,37
-75.791,-83.128,5,37,6
-67.024,-67.083,14,6,36
-78.725,-79.072,1947,36,6
-66.262,-63.239,15,6,37
-79.405,-79.3,5,37,7
-83.454,-83.415,13,7,2
-72.599,-75.049,72,2,27
-76.292,-81.522,116,27,1
-77.189,-84.737,504,1,4
-81.833,-84.624,347,4,33
-66.807,-76.124,228,33,13
-71.751,-75.875,128,13,33
-71.698,-81.321,83,33,5
-77.867,-80.272,136,5,20
-77.868,-78.189,24,20,28
-73.89,-76.736,56,28,1
-74.3,-83.639,195,1,7
-80.416,-81.576,37,7,2
-70.36,-79.458,37,2,9
-75.484,-83.625,181,9,2
-70.19,-84.268,233,2,7
-77.12,-74.483,97,7,31
-66.253,-83.997,76,31,1
-74.55,-82.973,128,1,4
-68.979,-82.005,119,4,23
-79.402,-79.295,20,23,12
-71.566,-68.922,42,12,13
-82.221,-93.42,1,13,29
-80.517,-81.361,15,29,13
-80.426,-84.017,87,13,12
-81.579,-81.549,13,12,23
-76.166,-81.195,46,23,4
-81.13,-83.328,65,4,41
-76.179,-83.306,59,41,34
-56.182,-78.02,1616,34,3
-77.047,-77.831,52,3,49
-73.757,-80.48,53,49,9
-79.492,-84.25,117,9,25
-73.306,-70.214,45,25,8
-59.091,-70.575,133,8,25
-75.075,-84.899,89,25,9
-77.944,-79.598,192,9,49
-69.628,-80.716,102,49,3
-73.516,-83.189,170,3,1
-76.394,-83.659,250,1,3
-76.676,-84.218,929,3,1
-79.937,-84.233,284,1,7
-68.749,-75.857,303,7,31
-75.935,-76.437,15,31,37
-72.538,-75.29,28,37,6
-78.691,-83.023,56,6,5
-82.344,-85.198,71,7,1
-83.311,-83.914,40,1,2
-79.662,-85.663,166,2,9
-76.584,-75.953,127,9,49
-68.747,-82.386,4,49,3
-74.68,-75.732,9,3,1
-76.634,-82.225,5,1,28
-64.733,-84.287,3,28,20
-61.153,-84.326,3,20,5
-65.48,-79.794,73,5,33
-79.319,-82.527,28,33,4
-78.837,-84.781,278,4,5
-81.915,-81.82,47,5,20
-78.573,-83.499,89,20,1
-82.373,-83.815,85,1,6
-80.688,-83.899,56,6,31
-78.403,-77.325,16,31,7
-74.237,-82.265,54,7,19
-72.2,-85.42,2291,19,8
-82.401,-82.346,77,8,44
-71.454,-85.287,194,44,9
-77.116,-84.096,402,9,10
-66.207,-76.067,335,10,26
-74.407,-74.84,695,26,10
-67.696,-83.681,141,10,9
-77.099,-83.955,154,9,44
-72.39,-83.505,81,44,8
-83.396,-84.265,42,8,19
-70.312,-83.5,318,19,7
-69.279,-72.52,189,7,31
-73.045,-82.114,80,31,37
-79.284,-80.189,53,37,6
-77.73,-85.521,223,6,5
-82.861,-82.842,15,5,22
-67.458,-78.046,103,22,47
-75.501,-82.681,93,47,14
-81.509,-82.726,81,14,47
-68.866,-72.973,246,47,15
-69.676,-77.887,417,15,36
-68.552,-85.202,341,36,16
-82.156,-84.322,436,16,17
-73.837,-74.56,497,17,21
-36.358,-71.92,2019,21,17
-76.235,-80.982,59,17,43
-74.749,-74.729,28,43,7
-71.193,-84.888,100,7,2
-81.156,-80.105,36,2,27
-69.847,-80.115,207,27,2
-78.683,-82.043,340,2,42
-64.366,-75.893,263,42,7
-74.308,-86.125,729,7,1
-80.714,-83.778,314,1,3
-78.243,-79.007,207,3,32
-66.874,-77.609,134,32,41
-75.663,-77.612,31,41,32
-71.577,-82.729,127,32,4
-81.934,-84.205,138,4,1
-74.678,-83.622,324,1,6
-76.851,-74.088,89,6,37
-71.454,-82.491,73,37,45
-67.619,-77.363,84,45,17
-77.314,-83.636,358,17,45
-80.924,-81.294,44,45,7
-76.524,-75.5,98,7,31
-69.701,-85.495,163,31,1
-71.373,-85.353,459,1,4
-80.434,-83.821,293,4,11
-73.553,-82.419,374,11,34
-79.625,-79.384,20,34,3
-74.583,-85.529,130,3,2
-79.906,-84.708,273,2,3
-71.278,-65.996,67,3,4
-82.94,-84.792,25,4,1
-83.334,-83.578,22,1,3
-81.018,-83.025,48,3,2
-79.745,-82.671,60,2,44
-80.448,-80.656,17,44,25
-56.53,-82.618,1477,25,9
-82.075,-84.579,67,9,3
-68.805,-76.213,87,3,32
-71.583,-77.272,33,32,4
-78.357,-80.983,55,4,23
-64.626,-70.412,34,23,12
-78.559,-84.575,64,12,4
-77.404,-83.567,116,4,28
-69.492,-74.601,47,28,1
-79.018,-85.16,82,1,37
-82.101,-82.101,11,37,31
-74.372,-77.04,37,31,7
-77.797,-79.218,38,7,43
-78.407,-83.418,40,43,17
-83.272,-83.591,22,17,18
-80.797,-83.494,124,18,17
-75.429,-76.384,68,17,45
-76.938,-80.423,27,45,6
-79.523,-78.978,42,6,37
-73.952,-85.831,83,37,1
-76.208,-83.526,199,1,3
-67.733,-79.875,172,3,34
-79.301,-81.141,33,34,10
-76.069,-83.589,205,10,3
-71.937,-80.873,286,3,27
-72.289,-83.408,134,27,1
-82.057,-84.154,140,1,7
-74.721,-81.089,273,7,45
-79.225,-80.912,53,45,17
-73.481,-79.527,133,17,45
-77.557,-79.727,38,45,7
-75.147,-73.036,43,7,31
-69.415,-77.024,43,31,7
-80.596,-83.506,48,7,1
-78.914,-81.104,105,1,27
-80.738,-82.413,28,27,3
-66.799,-76.228,138,3,34
-67.24,-75.182,100,34,3
-67.535,-81.971,115,3,27
-79.401,-80.621,33,27,1
-79.606,-83.231,80,1,7
-74.282,-78.425,90,7,43
-79.321,-81.157,22,43,17
-74.749,-76.641,144,17,45
-71.573,-81,60,45,6
-73.269,-68.133,85,6,36
-70.517,-79.987,5,36,15
-74.022,-73.341,345,15,47
-66.172,-62.744,26,47,22
-66.621,-65.425,15,22,5
-80.372,-82.768,25,5,1
-73.363,-79.375,41,1,2
-70.905,-74.592,35,2,44
-73.212,-74.224,22,44,25
-65.444,-61.517,20,25,8
-72.295,-72.363,66,8,24
-76.215,-79.405,18,24,19
-75.446,-82.179,60,19,18
-78.386,-84.321,672,18,17
-76.128,-84.24,145,17,16
-80.668,-80.255,15,16,40
-67.959,-69.348,36,40,16
-69.632,-81.369,60,16,6
-69.408,-81.138,59,6,1
-69.608,-81.124,59,1,3
-69.526,-74.631,49,3,34
-77.244,-77.698,14,34,10
-71.253,-82.823,257,10,34
-80.676,-81.004,26,34,3
-72.934,-83.431,213,3,4
-71.367,-83.216,245,4,33
-69.98,-79.809,131,33,5
-70.276,-72.644,103,5,20
-78.546,-85.615,51,20,6
-79.582,-77.486,90,6,37
-71.397,-81.953,62,37,7
-79.668,-79.963,63,7,43
-75.633,-76.35,68,43,7
-79.036,-84.771,53,7,2
-78.471,-77.307,44,2,44
-71.743,-80.645,29,44,9
-79.778,-83.06,224,9,25
-77.539,-79.375,146,25,44
-77.557,-84.234,188,44,8
-83.807,-85.718,128,8,19
-72.968,-78.606,501,19,35
-71.285,-78.647,174,35,18
-66.621,-83.606,356,18,43
-79.346,-82.614,79,43,45
-70.247,-81.528,106,45,6
-70.558,-85.515,261,6,22
-70.749,-81.392,114,22,47
-81.486,-83.488,45,47,14
-78.766,-82.537,68,14,5
-81.134,-81.067,18,5,33
-74.745,-78.403,22,33,4
-76.932,-82.115,51,4,11
-75.545,-83.621,197,11,10
-77.559,-82.942,135,10,3
-73.582,-80.676,122,3,27
-70.645,-77.928,66,27,1
-78.236,-82.682,61,1,4
-80.514,-82.915,35,4,28
-76.251,-74.589,24,28,1
-71.193,-82.927,85,1,7
-68.425,-72.48,123,7,42
-75.364,-82.757,56,42,2
-82.777,-84.175,41,2,1
-73.078,-83.609,158,1,4
-78.596,-83.247,124,4,13
-76.517,-83.176,92,13,23
-76.314,-82.455,34,23,12
-84.983,-84.75,9,12,11
-72.593,-81.953,71,11,10
-78.754,-84.606,631,10,3
-81.392,-81.131,62,3,49
-67.611,-83.101,131,12,13
-68.042,-72.149,124,13,30
-65.775,-81.155,59,30,14
-76.52,-85.712,201,14,22
-73.244,-84.935,95,22,6
-71.019,-70.734,100,6,37
-68.493,-79.565,41,37,31
-79.167,-79.016,15,31,7
-69.898,-84.668,140,7,2
-80.03,-78.757,49,2,27
-73.907,-81.53,47,27,3
-76.534,-82.975,114,3,10
-77.021,-83.674,311,10,49
-72.877,-79.305,160,49,9
-78.658,-85.135,265,9,2
-83.149,-83.917,55,2,3
-79.721,-85.83,208,3,4
-77.48,-83.33,225,4,33
-73.187,-84.248,221,33,4
-75.344,-84.537,410,4,3
-74.391,-84.283,412,3,9
-71.235,-77.129,324,9,38
-73.944,-76.787,34,38,9
-69.521,-81.215,186,9,49
-79.327,-80.455,37,49,3
-68.647,-83.381,224,3,4
-70.139,-83.579,243,4,13
-70.421,-76.741,190,13,29
-71.078,-77.385,120,29,13
-69.074,-84.22,237,13,14
-81.923,-82.212,861,14,13
-80.984,-84.677,1,13,33
-67.652,-88.629,2,33,4
-70.833,-82.583,5,4,41
-74.98,-99.333,2,41,11
-80.202,-89.344,2,11,10
-75.212,-80.142,23,10,11
-69.484,-80.357,45,11,12
-73.232,-74.323,115,12,23
-66.428,-81.857,62,23,4
-78.404,-79.791,93,4,32
-69.992,-77.07,57,32,3
-69.789,-85.149,164,3,9
-81.102,-83.199,111,9,25
-69.869,-70.455,53,25,8
-71.301,-75.997,73,8,39
-68.391,-65.609,35,39,8
